Model,Params,MSE,R2,MAE,MAPE,MRE,RMSE,CVRMSE,Training Time (s)
Gradient Boosting,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 200, 'subsample': 0.7}",1509384.2302858871,0.970107880544199,851.7707001782754,2.7028320955209884,2.7028320955209884,1228.569994052389,3.9421930923842323,11.47226357460022
Gradient Boosting,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 200, 'subsample': 0.8}",1526575.0455231213,0.969767430516762,860.9262852297896,2.7320602645377,2.7320602645377,1235.5464562383404,3.956520202847836,12.880412340164185
Gradient Boosting,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 200, 'subsample': 1.0}",1554687.3907530522,0.9692106885256013,863.3725623613414,2.7411462300978187,2.7411462300978187,1246.871040145312,4.013152842240088,13.66710352897644
Gradient Boosting,"{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 50, 'subsample': 0.7}",1480730.4247506908,0.970675345713594,850.1099835917632,2.6952618726739495,2.6952618726739495,1216.8526717522918,3.8970953216424395,4.518157243728638
Gradient Boosting,"{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 50, 'subsample': 0.8}",1464635.6506297018,0.970994089543684,853.9671046154302,2.7071518248650337,2.7071518248650337,1210.2213229941462,3.8747830910096446,5.109013557434082
Gradient Boosting,"{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 50, 'subsample': 1.0}",1454681.5080364142,0.9711912231916369,848.1854881445813,2.685489084947467,2.685489084947467,1206.1017817897518,3.851566923997761,6.283953428268433
Gradient Boosting,"{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 100, 'subsample': 0.7}",1116377.2587615985,0.977891061992664,737.5971205146026,2.3369443746417518,2.3369443746417518,1056.5875537605004,3.3747484285078913,7.204251050949097
Gradient Boosting,"{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 100, 'subsample': 0.8}",1091816.7998944805,0.9783774617811434,729.7945620435571,2.3099233442531584,2.3099233442531584,1044.9003779760444,3.3281092989729166,10.262619972229004
Gradient Boosting,"{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 100, 'subsample': 1.0}",1108523.8350100513,0.9780465926231078,732.198057372767,2.3225203620567445,2.3225203620567445,1052.864585314774,3.3672038460687865,12.77216124534607
Gradient Boosting,"{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 200, 'subsample': 0.7}",811125.1411089249,0.9839363303755737,626.0848925844854,1.9853853219787827,1.9853853219787827,900.6248614761447,2.88513343911715,16.22736096382141
Gradient Boosting,"{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 200, 'subsample': 0.8}",816892.3010208555,0.9838221164931513,626.3628451188412,1.986293066463504,1.986293066463504,903.8209452213727,2.8872571511171294,18.843801259994507
Gradient Boosting,"{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 200, 'subsample': 1.0}",835237.8566842134,0.9834587977765723,631.2825900845144,1.997812177213222,1.997812177213222,913.9134842446595,2.909653288777006,25.457133293151855
