time,weekday,uid,last
2022-03-04T08:15:00Z,Friday,MLU00390001,43.6
2022-03-04T08:30:00Z,Friday,MLU00390001,45.6
2022-03-04T08:45:00Z,Friday,MLU00390001,34.5
2022-03-04T09:00:00Z,Friday,MLU00390001,37.1
2022-03-04T09:15:00Z,Friday,MLU00390001,40.5
2022-03-04T09:30:00Z,Friday,MLU00390001,39.4
2022-03-04T09:45:00Z,Friday,MLU00390001,42.9
2022-03-04T10:00:00Z,Friday,MLU00390001,41.6
2022-03-04T10:15:00Z,Friday,MLU00390001,40.4
2022-03-04T10:30:00Z,Friday,MLU00390001,38.9
2022-03-04T10:45:00Z,Friday,MLU00390001,43.2
2022-03-04T11:00:00Z,Friday,MLU00390001,43.6
2022-03-04T11:15:00Z,Friday,MLU00390001,46.1
2022-03-04T11:30:00Z,Friday,MLU00390001,45.3
2022-03-04T11:45:00Z,Friday,MLU00390001,44.6
2022-03-04T12:00:00Z,Friday,MLU00390001,42.7
2022-03-04T12:15:00Z,Friday,MLU00390001,43.6
2022-03-04T12:30:00Z,Friday,MLU00390001,39.9
2022-03-04T12:45:00Z,Friday,MLU00390001,40.0
2022-03-04T13:00:00Z,Friday,MLU00390001,45.2
2022-03-04T13:15:00Z,Friday,MLU00390001,39.6
2022-03-04T13:30:00Z,Friday,MLU00390001,38.2
2022-03-04T13:45:00Z,Friday,MLU00390001,37.3
2022-03-04T14:00:00Z,Friday,MLU00390001,33.5
2022-03-04T14:15:00Z,Friday,MLU00390001,30.3
2022-03-04T14:30:00Z,Friday,MLU00390001,28.4
2022-03-04T14:45:00Z,Friday,MLU00390001,32.1
2022-03-04T15:00:00Z,Friday,MLU00390001,22.2
2022-03-04T15:15:00Z,Friday,MLU00390001,25.4
2022-03-04T15:30:00Z,Friday,MLU00390001,22.3
2022-03-04T15:45:00Z,Friday,MLU00390001,24.3
2022-03-04T16:00:00Z,Friday,MLU00390001,31.6
2022-03-04T16:15:00Z,Friday,MLU00390001,25.7
2022-03-04T16:30:00Z,Friday,MLU00390001,28.4
2022-03-04T16:45:00Z,Friday,MLU00390001,26.6
2022-03-04T17:00:00Z,Friday,MLU00390001,25.8
2022-03-04T17:15:00Z,Friday,MLU00390001,25.7
2022-03-04T17:30:00Z,Friday,MLU00390001,28.7
2022-03-04T17:45:00Z,Friday,MLU00390001,27.0
2022-03-04T18:00:00Z,Friday,MLU00390001,34.5
2022-03-04T18:15:00Z,Friday,MLU00390001,29.1
2022-03-04T18:30:00Z,Friday,MLU00390001,27.0
2022-03-04T18:45:00Z,Friday,MLU00390001,26.6
2022-03-04T19:00:00Z,Friday,MLU00390001,27.9
2022-03-04T19:15:00Z,Friday,MLU00390001,27.7
2022-03-04T19:30:00Z,Friday,MLU00390001,25.0
2022-03-04T19:45:00Z,Friday,MLU00390001,30.4
2022-03-04T20:00:00Z,Friday,MLU00390001,26.6
2022-03-04T20:15:00Z,Friday,MLU00390001,29.2
2022-03-04T20:30:00Z,Friday,MLU00390001,23.5
2022-03-04T20:45:00Z,Friday,MLU00390001,23.5
2022-03-04T21:00:00Z,Friday,MLU00390001,23.3
2022-03-04T21:15:00Z,Friday,MLU00390001,5.6
2022-03-04T21:30:00Z,Friday,MLU00390001,5.0
2022-03-04T21:45:00Z,Friday,MLU00390001,5.0
2022-03-04T22:00:00Z,Friday,MLU00390001,4.7
2022-03-04T22:15:00Z,Friday,MLU00390001,4.7
2022-03-04T22:30:00Z,Friday,MLU00390001,4.6
2022-03-04T22:45:00Z,Friday,MLU00390001,4.7
2022-03-04T23:00:00Z,Friday,MLU00390001,4.7
2022-03-04T23:15:00Z,Friday,MLU00390001,4.6
2022-03-04T23:30:00Z,Friday,MLU00390001,4.7
2022-03-04T23:45:00Z,Friday,MLU00390001,4.6
