units_lstm1,units_lstm2,dropout_rate,feature_att,temporal_att,epochs,batch_size,MSE,R2,MAE,MAPE,MRE,RMSE,CVRMSE,Training Time (s)
64,32,0.2,False,True,50,32,112132.73166996933,0.9978040532841478,238.37334120041058,0.7692142827126021,0.7692142827126021,334.86225775678173,1.079427327032951,1619.5703456401825
64,32,0.2,False,False,50,32,134529.42792791096,0.9973654485087079,262.86851008986866,0.8359943525830967,0.8359943525830967,366.78253492759296,1.16012903418214,1567.0742490291595
64,32,0.2,True,True,50,64,157883.864937981,0.9969080878568352,297.4740164477125,0.9856256766712448,0.9856256766712448,397.3460267046608,1.1825077602632572,851.3192596435547
64,32,0.2,True,False,50,64,156339.41448139836,0.9969383335385146,296.7343506538621,0.9417679226639325,0.9417679226639325,395.397792711844,1.2262022503002683,831.100887298584
64,32,0.2,False,True,50,64,106538.46988506377,0.9979136082785837,230.38644081569132,0.7414306217691582,0.7414306217691582,326.40231292848364,1.0594515608685624,818.0312502384186
64,32,0.2,False,False,50,64,130487.94991639466,0.9974445946262991,256.4847807697112,0.8009207871918018,0.8009207871918018,361.23115856248427,1.1150176901596072,798.0218486785889
128,64,0.0,True,True,10,16,212675.3111646111,0.9958350818343628,352.9436551767851,1.1293398352084898,1.1293398352084898,461.1673353183323,1.2716278203986666,736.0689239501953
128,64,0.0,True,False,10,16,132259.59594517277,0.9974098996695223,255.9666551588724,0.8284086038564712,0.8284086038564712,363.67512417702255,1.1920976234119367,726.364598274231
128,64,0.0,False,True,10,16,126284.32034326035,0.9975269162322951,253.87261995206228,0.8285768473438345,0.8285768473438345,355.3650522255394,1.1974315799178197,706.7840456962585
128,64,0.0,False,False,10,16,184693.05418512606,0.9963830712073237,325.3341932290124,1.033376328309876,1.033376328309876,429.7592979623897,1.3811564295094483,703.1900639533997
128,64,0.0,True,True,10,32,190822.70392304487,0.9962630314650394,324.09271777534667,1.0324602182061633,1.0324602182061633,436.83258111437254,1.4127710056838165,355.2940683364868
128,64,0.0,True,False,10,32,169881.48325762775,0.9966731329943725,301.0608485560939,0.9489891588241299,0.9489891588241299,412.1668148427621,1.2322677683992223,351.58324551582336
128,64,0.0,False,True,10,32,156815.98149581018,0.9969290007080859,285.1687393588891,0.8937124813573906,0.8937124813573906,395.9999766361233,1.1943280880527924,343.8681321144104
128,64,0.0,False,False,10,32,228542.71052661948,0.9955243432748075,355.1881954216997,1.134474845717067,1.134474845717067,478.06140874015284,1.4203773101362203,335.8494749069214
128,64,0.0,True,True,10,64,233513.94595159224,0.9954269892913398,358.69718046253854,1.1715453134585327,1.1715453134585327,483.2328071971027,1.4452027352131456,186.62049651145935
128,64,0.0,True,False,10,64,248054.93567372888,0.9951422264201422,362.20882815699713,1.1852923852685648,1.1852923852685648,498.05113760911024,1.5684870446136974,185.35122275352478
128,64,0.0,False,True,10,64,193004.50343750414,0.9962203042844288,316.64135159420704,1.0063851052785788,1.0063851052785788,439.32277819105184,1.2251542688017483,177.7919397354126
128,64,0.0,False,False,10,64,375508.3841728636,0.9926462470795204,472.9710635400852,1.5112470016561181,1.5112470016561181,612.7873890452247,1.7302396952994186,174.30945205688477
128,64,0.0,True,True,20,16,112520.99629569324,0.9977964497198981,235.81337012671773,0.757937397044301,0.757937397044301,335.44149459435283,1.097451641111443,1463.396394252777
